obs,tic,gvkey,conm_x,CrossVerified_ExecType,DirectorName,Ethnicity,Race(black),BE_fromBermissData,Actual_Bermiss_discrepancy,Minority,Gender,Female,Num_Black_TMT,Active2020,CEO_Appointment_date_within_2020,DirectorName_source
132,DLTR,31587,DOLLAR TREE INC,CEO,Gary Philbin,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
133,D,4029,DOMINION ENERGY INC,CEO,Tom Farrell II,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
134,DPZ,160211,DOMINO'S PIZZA INC,CEO,Ritch Allison Jr,Caucasian/White,0,1,1,0,M,0,1,Yes,,BoardEx
135,DOV,4058,DOVER CORP,CEO,Rich Tobin,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
136,FLT,184700,DRONE DELIVERY CANADA CORP (Asher Resources Corp prior to 06/2016),CEO,Mike Zahra,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
137,DTE,3897,DTE ENERGY CO,CEO,Jerry Norcia,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
138,DUK,4093,DUKE ENERGY CORP,CEO,Lynn Good,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
139,DRE,13510,DUKE REALTY CORP,CEO,Jim Connor,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
140,DXC,3336,DXC TECHNOLOGY CO,CEO,Mike Salvino,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
141,EMN,29392,EASTMAN CHEMICAL CO,CEO,Mark Costa,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
142,ECL,4213,ECOLAB INC,CEO,Doug Baker Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
143,EIX,9846,EDISON INTERNATIONAL,CEO,Pedro Pizarro,Hispanic/Latino,0,,0,1,M,0,0,Yes,,BoardEx
144,EW,133366,EDWARDS LIFESCIENCES CORP,CEO,Mike Mussallem,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
145,EW,133366,EDWARDS LIFESCIENCES CORP,CEO,Nick DeMare,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
146,EA,16721,ELECTRONIC ARTS INC,CEO,Andrew Wilson,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
147,ELV,145046,ELEVANCE HEALTH INC,CEO,Gail Boudreaux,Caucasian/White,0,,0,0,F,1,0,Yes,,BoardEx
148,EMR,4321,EMERSON ELECTRIC CO,CEO,David Farr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
149,ENPH,187450,ENPHASE ENERGY INC,CEO,Badri Kothandaraman,Asian/Indian,0,,0,1,M,0,0,Yes,,BoardEx
150,ETR,7366,ENTERGY CORP,CEO,Gordon Lam,Asian,0,1,1,1,M,0,2,Yes,,BoardEx
151,ETR,7366,ENTERGY CORP,CEO,Leo Denault,Caucasian/White,0,1,1,0,M,0,2,Yes,,BoardEx
152,EOG,16478,EOG RESOURCES INC,CEO,Bill Thomas,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
153,EOG,16478,EOG RESOURCES INC,CEO,Gil Holzman,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
154,EPAM,187697,EPAM SYSTEMS INC,CEO,Arkadiy Dobkin,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
155,EFX,4423,EQUIFAX INC,CEO,Marc Rossiter,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
156,EFX,4423,EQUIFAX INC,CEO,Mark Begor,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
157,EQIX,138743,EQUINIX INC,CEO,Charles Meyers,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
158,EQR,28733,EQUITY RESIDENTIAL,CEO,Mark Parrell,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
159,ESS,30293,ESSEX PROPERTY TRUST,CEO,Mike Schall,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
160,EL,61567,ESTEE LAUDER COMPANIES INC,CEO,Fabrizio Freda,Caucasian/White,0,1,1,0,M,0,2,Yes,,BoardEx
161,ETSY,23238,ETSY INC,CEO,Josh Silverman,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
162,EVRG,6338,EVERGY INC,CEO,Terry Bassham,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
163,ES,7970,EVERSOURCE ENERGY,CEO,Jim Judge,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
164,EXC,8539,EXELON CORP,CEO,Chris Crane,Caucasian/White,0,1,1,0,M,0,1,Yes,,BoardEx
165,EXPD,4494,EXPEDITORS INTL WASH INC,CEO,Jeff Musser,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
166,EXR,160479,EXTRA SPACE STORAGE INC,CEO,Joe Margolis,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
167,XOM,4503,EXXON MOBIL CORP,CEO,Darren Woods,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
168,FFIV,121077,F5 INC,CEO,Francois Locoh-Donou,African American/Black,1,1,0,1,M,0,1,Yes,,BoardEx
169,FAST,14225,FASTENAL CO,CEO,Dan Florness,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
170,FRT,4605,FEDERAL REALTY INVESTMENT TR,CEO,Don Wood,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
171,FDX,4598,FEDEX CORP,CEO,Fred Smith,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
172,FIS,165993,FIDELITY NATIONAL INFO SVCS,CEO,Gary Norcross,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
173,FITB,4640,FIFTH THIRD BANCORP,CEO,Greg Carmichael,Caucasian/White,0,0,0,0,M,0,0,Yes,,Bermiss
174,F,4839,FIORE GOLD LTD (Fiore Exploration Ltd prior to 09/2017) (De-listed 01/2022),CEO,Tim Warman,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
175,FE,8099,FIRSTENERGY CORP,CEO,Chuck Jones Jr,Caucasian/White,0,,0,0,M,0,0,No,,BoardEx
176,FE,8099,FIRSTENERGY CORP,CEO,Gurm Sangha,Asian/Indian,0,,0,1,M,0,0,Yes,,BoardEx
177,FLT,184700,FLEETCOR TECHNOLOGIES INC,CEO,Ron Clarke,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
178,FLIR,28477,FLIR SYSTEMS INC,CEO,Jim Cannon,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
179,FLS,4108,FLOWSERVE CORP,CEO,Robert Rowe,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
180,FMC,4510,FMC CORP,CEO,Doctor Pierre Brondeau,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
181,F,4839,FORD MOTOR CO,CEO,Jim Hackett,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
182,FTNT,183377,FORTINET INC,CEO,Ken Xie,Asian/Chinese,0,,0,1,M,0,0,Yes,,BoardEx
183,FTV,26590,FORTIVE CORP,CEO,Jim Lico,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
184,FOXA,34636,FOX CORP,CEO,Lachlan Murdoch,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
185,FCX,14590,FREEPORT-MCMORAN INC,CEO,Richard Adkerson,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
186,IT,12441,GARTNER INC,CEO,Gene Hall,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
187,GD,5046,GENERAL DYNAMICS CORP,CEO,Phebe Novakovic,Caucasian/White,0,,0,0,F,1,0,Yes,,BoardEx
188,GE,5047,GENERAL ELECTRIC CO,CEO,Larry Culp Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
189,GIS,5071,GENERAL MILLS INC,CEO,Jeff Harmening,Caucasian/White,0,0,0,0,M,0,1,Yes,,BoardEx
190,GM,5073,GENERAL MOTORS CO,CEO,Mary Barra,Caucasian/White,0,1,1,0,F,1,1,Yes,,BoardEx
191,GPC,5125,GENUINE PARTS CO,CEO,Paul Donahue,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
192,GPJA,9850,GEORGIA POWER CO,CEO,Christopher Womack,African American/Black,1,1,0,1,M,0,1,Yes,,Bermiss
193,GILD,24856,GILEAD SCIENCES INC,CEO,Daniel O'Day,Caucasian/White,0,0,0,0,M,0,1,Yes,,Bermiss
194,GPN,141913,GLOBAL PAYMENTS INC,CEO,Jeff Sloan,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
195,GL,10614,GLOBE LIFE INC,CEO (Co-CEO),Gary Coleman,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
196,GL,10614,GLOBE LIFE INC,CEO (Co-CEO),Larry Hutchison,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
