obs,coid,tic,conm_x,gvkey,ceo_name,ceo_race(black)_manual check,ceo_ethnicity_manual check,,ceo_minority,ceo_gender,ceo_female,ceo_active_2020_may26_dec31,firm_multiple_ceos_may26_dec31,firm_coceo_2020,firm_ceo_change_2020_may26_dec31,firm_ceo_change_date_2020,ceo_in_or_out_2020,DateStartRole_boardex,DateEndRole_boardex,Actual_Bermiss_discrepancy,RoleName_boardex,Interim_boardex,ethnicity_boardex (for comparison with ceo_ethnicity column)
93,93,ORLY,O'REILLY AUTOMOTIVE INC,28180,Gregory D. Johnson,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/8/18,,0,,0,CAUCASIAN/WHITE
94,94,CMS,CMS ENERGY CORP,3439,"Patti Poppe, Garrick Rochow",0,Caucasian/White,,0,M,1,1,1,0,1,12/1/20,incoming,,,0,President/CEO,0,CAUCASIAN/WHITE
95,95,LHX,L3HARRIS TECHNOLOGIES INC,5492,Bill Brown,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/29/19,6/29/21,0,Chairman (Executive)/CEO,0,CAUCASIAN/WHITE
96,96,DOW,DOW INC,34443,James R. Fitterling,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/1/18,,0,,0,CAUCASIAN/WHITE
97,97,K,KELLOGG CO,6375,Steve Cahillane,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/16/18,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
98,98,UNM,UNUM GROUP,12726,Rick McKenney,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/21/15,,0,President/CEO,0,CAUCASIAN/WHITE
99,99,ROP,ROPER TECHNOLOGIES INC,24925,Laurence Hunn,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/19/18,,0,President/CEO,0,CAUCASIAN/WHITE
100,100,SCHW,SCHWAB (CHARLES) CORP,13988,Walt Bettinger II,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/1/08,10/15/21,0,President/CEO,0,CAUCASIAN/WHITE
101,101,UDR,UDR INC,10894,Tom Toomey,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/19,,0,Chairman/CEO,0,CAUCASIAN/WHITE
102,102,WHR,WHIRLPOOL CORP,11465,Doctor Marc Bitzer,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/19,9/1/21,1,Chairman/President/CEO,0,CAUCASIAN/WHITE
103,103,MTD,METTLER-TOLEDO INTL INC,65772,Olivier Filliol,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/09,3/31/21,0,President/CEO,0,CAUCASIAN/WHITE
104,104,LW,LAMB WESTON HOLDINGS INC,28790,Tom Werner,0,Caucasian/White,,0,M,0,1,0,0,0,,,11/9/16,,0,President/CEO,0,CAUCASIAN/WHITE
105,105,MU,MICRON TECHNOLOGY INC,7343,Sanjay Mehrotra,0,Asian/Indian,,1,M,0,1,0,0,0,,,5/8/17,,0,President/CEO,0,INDIAN/SOUTH ASIAN
106,106,EVRG,EVERGY INC,6338,Terry Bassham,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/5/18,1/4/21,0,President/CEO,0,CAUCASIAN/WHITE
107,107,KSU,KANSAS CITY SOUTHERN,6335,Pat Ottensmeyer,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/1/16,12/14/21,0,President/CEO,0,CAUCASIAN/WHITE
108,108,GL,GLOBE LIFE INC,10614,"Gary Coleman, Larry Hutchison",0,Caucasian/White,,0,M,0,1,1,1,0,0,0,4/24/14,12/31/22,0,Co-Chairman/Co-CEO,0,CAUCASIAN/WHITE
109,109,TYL,TYLER TECHNOLOGIES INC,10789,H Moore Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/10/18,,0,President/CEO,0,CAUCASIAN/WHITE
110,110,SNA,SNAP-ON INC,9778,Nick Pinchuk,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/23/09,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
111,111,STZ,CONSTELLATION BRANDS,2710,Bill Newlands Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/1/19,,0,President/CEO,0,CAUCASIAN/WHITE
112,112,HSIC,HENRY SCHEIN INC,61494,Stan Bergman,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/18/05,,0,Chairman/CEO,0,CAUCASIAN/WHITE
113,113,FAST,FASTENAL CO,14225,Dan Florness,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/16,,0,President/CEO,0,CAUCASIAN/WHITE
114,114,AAL,AMERICAN AIRLINES GROUP INC,1045,Doug Parker Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/4/14,3/31/22,0,Chairman/CEO,0,CAUCASIAN/WHITE
115,115,DHI,D R HORTON INC,25340,David V. Auld,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/1/14,,0,,0,CAUCASIAN/WHITE
116,116,RJF,RAYMOND JAMES FINANCIAL INC,8898,Paul Reilly,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/16/17,,0,Chairman/CEO,0,CAUCASIAN/WHITE
117,117,CSX,CSX CORP,2574,Jim Foote,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/22/17,9/26/22,0,President/CEO,0,CAUCASIAN/WHITE
118,118,FIS,FIDELITY NATIONAL INFO SVCS,165993,Gary Norcross,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/30/18,3/9/21,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
119,119,REG,REGENCY CENTERS CORP,29099,Lisa Palmer,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/20,,0,President/CEO,0,CAUCASIAN/WHITE
120,120,ZTS,ZOETIS INC,13721,Kristin Peck,0,Caucasian/White,,0,F,1,1,0,0,0,,,1/1/20,,0,,0,CAUCASIAN/WHITE
121,121,EPAM,EPAM SYSTEMS INC,187697,Arkadiy Dobkin,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/8/12,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
122,122,MOS,MOSAIC CO,162129,Joc O'Rourke,0,Caucasian/White,,0,M,0,1,0,0,0,,,8/5/15,8/29/23,0,President/CEO,0,CAUCASIAN/WHITE
123,123,MNST,MONSTER BEVERAGE CORP,24316,Rodney Sacks,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/1/96,1/13/21,0,Chairman/CEO,0,CAUCASIAN/WHITE
124,124,APD,AIR PRODUCTS & CHEMICALS INC,1209,Seifi Ghasemi,0,Middle Eastern/Iranian,,1,M,0,1,0,0,0,,,7/1/14,,0,Chairman/President/CEO,0,MIDDLE-EASTERN/NORTH AFRICAN
125,125,PPL,PPL CORP,8455,"Bill Spence, Vincent Sorgi",0,Caucasian/White,,0,M,0,1,1,0,1,6/1/20,incoming,6/1/20,,0,Chairman/CEO,0,CAUCASIAN/WHITE
126,126,ULTA,ULTA BEAUTY INC,178704,Mary Dillon,0,Caucasian/White,,0,F,1,1,0,0,0,,,7/1/13,6/2/21,0,CEO,0,CAUCASIAN/WHITE
127,127,CCL,CARNIVAL CORPORATION & PLC,13498,Arnold Donald,1,Black/African American,,1,M,0,1,0,0,0,,,7/3/13,1/1/22,0,President/CEO,0,BLACK/AFRICAN AMERICAN
128,128,LEN,LENNAR CORP,6669,Rick Beckwitt,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/11/18,11/2/20,0,CEO,0,CAUCASIAN/WHITE
129,129,NCLH,NORWEGIAN CRUISE LINE HLDGS,104432,Frank Del Rio,0,Hispanic/Latino,,1,M,0,1,0,0,0,,,8/4/15,6/30/23,0,President/CEO,0,HISPANIC/LATIN AMERICAN
130,130,RCL,Stephen Richardson,28191,Richard Fain,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/1/88,1/3/22,0,Chairman/CEO,0,CAUCASIAN/WHITE
